time,open,close,high,low,volume,Unnamed: 0
1628623080000,0.25158,0.25158,0.25158,0.25158,2.92398911,
1628623140000,0.25165,0.25165,0.25165,0.25165,13.0,
1628623320000,0.25198,0.25158,0.25198,0.25158,9398.1270426,
1628623380000,0.25186,0.25253,0.25253,0.25186,98999.19918906,
1628623440000,0.2527,0.25287,0.25287,0.25266,8813.791930520001,
1628623500000,0.25326,0.25291,0.25332,0.25291,21403.06826928,
1628623560000,0.2526,0.2526,0.2526,0.2526,0.40253355,
1628623680000,0.25254,0.25254,0.25254,0.25254,0.27626309,
1628623740000,0.25295,0.25295,0.25295,0.25295,1.99624881,
1628623800000,0.25337,0.25337,0.25337,0.25337,0.47523884,
1628623860000,0.25332,0.25332,0.25332,0.25332,4.46623579,
1628623980000,0.25365,0.25351,0.25365,0.25351,3500.11974877,
1628624100000,0.25296,0.25296,0.25296,0.25296,0.61222333,
1628624220000,0.25305,0.25295,0.25305,0.25295,0.61102753,
1628624340000,0.25289,0.25289,0.25289,0.25289,0.16055555,
1628624400000,0.25309,0.25309,0.25309,0.25309,869.0,
1628624460000,0.25288,0.25288,0.25288,0.25288,0.27545583,
1628624520000,0.25277,0.25277,0.25277,0.25277,1.35473772,
1628624580000,0.25284,0.25284,0.25284,0.25284,0.25827043,
1628624640000,0.25332,0.2532,0.25332,0.2532,0.50793303,
1628624700000,0.2531,0.2531,0.2531,0.2531,0.13736932,
1628624760000,0.25299,0.25299,0.25299,0.25299,0.04506346,
1628624880000,0.25279,0.25279,0.25279,0.25279,0.56256842,
1628625300000,0.25267,0.25267,0.25267,0.25267,1.26312346,
1628625420000,0.25276,0.25276,0.25276,0.25276,0.22576278,
1628625540000,0.25278,0.25278,0.25278,0.25278,1.40116913,
1628625660000,0.25315,0.25499,0.2551,0.25315,162320.84221568,
1628625720000,0.25519,0.25518,0.2554,0.25518,16027.21951272,
1628625780000,0.25502,0.25539,0.25539,0.25502,11.39467004,
1628625840000,0.25595,0.25605,0.25605,0.25595,17574.34353365,
1628625900000,0.25575,0.25549,0.25575,0.25549,7354.30696633,
1628625960000,0.25517,0.2546,0.25536,0.2546,9163.18192451,
1628626020000,0.25443,0.25432,0.25451,0.25432,9037.59507349,
1628626140000,0.25418,0.25474,0.25483,0.25413,48356.75444764,
1628626200000,0.25474,0.2542,0.25474,0.2542,5837.13500777,
1628626260000,0.25481,0.25481,0.25481,0.25481,659.63949,
1628626320000,0.25492,0.25572,0.25572,0.25492,13000.20482767,
1628626380000,0.25607,0.25631,0.25634,0.25607,18881.39892,
1628626440000,0.2559,0.25563,0.2559,0.25563,2285.8862284300003,
1628626500000,0.25588,0.25588,0.25588,0.25588,1248.75031249,
1628626560000,0.25627,0.25627,0.25627,0.25627,2281.97256,
1628626620000,0.25629,0.25629,0.25629,0.25629,0.70453595,
1628626740000,0.25625,0.25624,0.25625,0.25624,4564.144130000001,
1628626920000,0.25525,0.25498,0.25525,0.25498,2293.00739424,
1628627040000,0.25593,0.25593,0.25593,0.25593,5700.64968,
1628627460000,0.2559,0.2559,0.2559,0.2559,5870.278,
1628627520000,0.25602,0.25602,0.25602,0.25602,1.46308175,
1628627640000,0.25592,0.25592,0.25592,0.25592,3.53122769,
1628627700000,0.25682,0.25716,0.25732,0.25682,11285.38286718,
1628627760000,0.25766,0.25763,0.25828,0.25763,136748.37837401,
1628627820000,0.25756,0.25826,0.25857,0.25756,14562.90780044,
1628627940000,0.25828,0.25795,0.25837,0.25793,3519.01369649,
1628628000000,0.25784,0.25784,0.25784,0.25784,2262.3449,
1628628060000,0.25808,0.25808,0.25808,0.25808,0.04417829,
1628628120000,0.25765,0.25765,0.25765,0.25765,2269.57599934,
1628628180000,0.25709,0.25709,0.25709,0.25709,2275.17216,
1628628300000,0.25741,0.25741,0.25741,0.25741,1500.0,
1628628420000,0.25791,0.25791,0.25791,0.25791,5775.851000000001,
1628628480000,0.25799,0.25799,0.25799,0.25799,4.22218025,
1628628540000,0.25837,0.25837,0.25837,0.25837,0.00038462,
1628628600000,0.25844,0.25896,0.25896,0.25844,800.90990605,
1628628660000,0.25916,0.25906,0.25916,0.25906,17015.77136392,
1628628720000,0.25975,0.25937,0.25976,0.25937,6780.07141802,
1628628840000,0.25939,0.25939,0.25939,0.25939,0.10918087,
1628628900000,0.26012,0.26008,0.26012,0.26008,17755.80249461,
1628628960000,0.2606,0.26042,0.2606,0.26017,10156.5751738,
1628629020000,0.26088,0.26084,0.26088,0.2607,20961.314005,
1628629080000,0.26141,0.2611,0.26141,0.2611,22253.65189429,
1628629200000,0.26099,0.2596,0.26099,0.2596,13534.86053,
1628629260000,0.25963,0.25963,0.25963,0.25963,2252.44889,
1628629380000,0.25962,0.25962,0.25962,0.25962,3847.57997617,
1628629500000,0.26044,0.26052,0.26052,0.26044,0.59453883,
1628629620000,0.26023,0.26017,0.26023,0.26017,4.2114455,
