time,open,close,high,low,volume
1685775540000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,26.15228701
1685776440000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,45.08501879
1685777280000,2.66e-06,2.66e-06,2.66e-06,2.66e-06,1000.0
1685778420000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,46.67149907
1685778780000,2.66e-06,2.66e-06,2.66e-06,2.66e-06,39.56832722
1685779740000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,48.27044265
1685780700000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,49.71705467
1685781000000,2.66e-06,2.66e-06,2.66e-06,2.66e-06,45.88845476
1685782080000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,26.68068286
1685785080000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,232.725842
1685787360000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,39.53705341
1685788680000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,26.97281997
1685790600000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,35.81111603
1685793060000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,37.52959381
1685794440000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,50.95338281
1685795700000,2.68e-06,2.68e-06,2.68e-06,2.68e-06,202.985074
1685796720000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,46.56476797
1685797080000,2.68e-06,2.68e-06,2.68e-06,2.68e-06,26.79170365
1685798040000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,36.01415457
1685799360000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,41.96603142
1685800680000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,49.55119747
1685801040000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,46.55498069
1685802000000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,38.02623812
1685803020000,2.68e-06,2.68e-06,2.68e-06,2.68e-06,28.17184208
1685803980000,2.68e-06,2.68e-06,2.68e-06,2.68e-06,32.24923412
1685804940000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,30.76125027
1685806620000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,46.62171343
1685806980000,2.68e-06,2.68e-06,2.68e-06,2.68e-06,29.54744299
1685807940000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,49.56902854
1685808960000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,48.15367173
1685811780000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,34.51669456
1685812860000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,47.73519736
1685816280000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,38.16478816
1685817420000,2.67e-06,2.67e-06,2.67e-06,2.67e-06,41.93992019
