time,open,close,high,low,volume,Unnamed: 0
1628623140000,0.25173,0.25173,0.25173,0.25173,4645.88561811,
1628623320000,0.25192,0.25178,0.25202,0.25164,37263.44640574,
1628623380000,0.25186,0.25242,0.25242,0.25186,171776.81505325,
1628623440000,0.25284,0.25305,0.25305,0.25284,13867.4801666,
1628623500000,0.25317,0.25344,0.25344,0.25316,31749.25557047,
1628623560000,0.25284,0.25243,0.25284,0.25243,29866.71158868,
1628623620000,0.25241,0.25233,0.25246,0.25233,24344.417,
1628623740000,0.25323,0.25365,0.25365,0.25323,36720.13260902,
1628623800000,0.25369,0.25372,0.25372,0.25369,31545.7628,
1628623860000,0.25377,0.25377,0.25377,0.25377,16899.3504,
1628623980000,0.25396,0.25304,0.25396,0.25304,31355.16359249,
1628624160000,0.25322,0.25355,0.25355,0.25322,22928.97706904,
1628624220000,0.25324,0.25324,0.25324,0.25324,22161.5725,
1628624340000,0.25305,0.25294,0.25314,0.25294,58525.77511068,
1628624400000,0.253,0.253,0.253,0.253,9524.989,
1628624460000,0.25305,0.25305,0.25305,0.25305,4621.899,
1628624520000,0.25311,0.25311,0.25311,0.25311,3378.101,
1628624580000,0.25326,0.25326,0.25326,0.25326,4634.9414,
1628624640000,0.25329,0.25402,0.25402,0.25326,43367.30338644,
1628624700000,0.25417,0.25338,0.25417,0.25338,21655.60549555,
1628624760000,0.25326,0.25318,0.25326,0.25318,15804.87331449,
1628625000000,0.25301,0.25301,0.25301,0.25301,22161.5725,
1628625480000,0.25297,0.25291,0.25297,0.25291,13887.79362678,
1628625540000,0.25304,0.25284,0.25304,0.25284,7280.1932596,
1628625600000,0.25294,0.25294,0.25294,0.25294,4654.3174788,
1628625660000,0.25303,0.25559,0.25559,0.25303,365170.4886418,
1628625720000,0.25561,0.25547,0.25592,0.25547,141207.37253577998,
1628625780000,0.25572,0.25596,0.25596,0.25572,13827.63643352,
1628625840000,0.256,0.25614,0.25614,0.256,32496.20094405,
1628625900000,0.25608,0.25608,0.25608,0.25608,4578.1791484,
1628625960000,0.25551,0.25479,0.25551,0.25473,56619.21816131,
1628626020000,0.25485,0.2547,0.25485,0.2547,29168.536,
1628626080000,0.25463,0.25478,0.2548,0.25463,25779.10277459,
1628626140000,0.25463,0.25462,0.25463,0.25415,64454.57728824,
1628626200000,0.2543,0.2543,0.2543,0.2543,22161.5725,
1628626260000,0.25475,0.25524,0.25524,0.25475,9199.23702968,
1628626320000,0.25496,0.2567,0.2567,0.25496,51937.89267902,
1628626380000,0.25675,0.25648,0.25689,0.25648,16631.84559693,
1628626440000,0.25609,0.25587,0.25609,0.25587,25150.11631531,
1628626500000,0.25694,0.25694,0.25694,0.25694,4565.24070709,
1628626560000,0.25704,0.25704,0.25704,0.25704,4563.72817197,
1628626680000,0.25673,0.25662,0.25682,0.25662,41708.48170444,
1628626740000,0.25616,0.25561,0.25616,0.25561,43320.7052462,
1628626800000,0.25555,0.25555,0.25555,0.25555,13571.38239054,
1628626920000,0.25522,0.25522,0.25522,0.25522,4551.34294397,
1628627040000,0.2563,0.25661,0.25661,0.2563,46344.883,
1628627160000,0.2558,0.2558,0.2558,0.2558,4578.76514168,
1628627280000,0.2562,0.25632,0.25632,0.2562,22292.50795075,
1628627340000,0.25546,0.25546,0.25546,0.25546,2291.53652719,
1628627520000,0.25652,0.25652,0.25652,0.25652,11195.454,
1628627700000,0.2568,0.25755,0.25756,0.2568,50736.36683323,
1628627760000,0.25762,0.25801,0.25864,0.25762,289241.49040379,
1628627820000,0.25857,0.25857,0.25857,0.25857,4536.34852628,
1628627880000,0.2586,0.25845,0.2586,0.25845,26695.6834,
1628627940000,0.25791,0.2578,0.25791,0.2578,20453.62817548,
1628628120000,0.25824,0.25733,0.25824,0.25733,26714.66918527,
1628628240000,0.25719,0.25719,0.25719,0.25719,22161.5725,
1628628300000,0.25721,0.25758,0.25758,0.25721,9113.82992122,
1628628360000,0.25786,0.25839,0.25839,0.25786,12872.83519255,
1628628420000,0.25839,0.25821,0.25839,0.25818,34839.8925,
1628628480000,0.25824,0.25823,0.25834,0.25823,23078.4833,
1628628540000,0.25841,0.25859,0.25859,0.25841,66226.40200166,
1628628600000,0.25893,0.25925,0.25942,0.25888,84506.00753426,
1628628660000,0.25949,0.25947,0.25958,0.2594,97707.45,
1628628720000,0.25974,0.25999,0.25999,0.25974,67261.924,
1628628780000,0.25975,0.25982,0.25982,0.25975,6356.29227106,
1628628840000,0.25985,0.25985,0.25985,0.25985,9031.83761377,
1628628900000,0.26007,0.26055,0.26055,0.26007,44693.31307567,
1628628960000,0.26067,0.26055,0.2609,0.26055,33056.92633096,
1628629020000,0.2605,0.26092,0.26133,0.2605,111513.83225846,
1628629080000,0.26168,0.26181,0.26181,0.26168,8969.00698212,
1628629140000,0.26192,0.26164,0.26192,0.26164,27769.3725,
1628629200000,0.26143,0.25995,0.26143,0.25995,75996.06864802,
1628629380000,0.25992,0.2598,0.26043,0.2598,86980.01692399,
1628629440000,0.26006,0.26006,0.26006,0.26006,22161.5725,
1628629500000,0.26034,0.26062,0.26062,0.26034,6942.9505956,
1628629560000,0.26074,0.26074,0.26074,0.26074,4499.06769284,
1628629680000,0.26012,0.25961,0.26012,0.25961,25128.36564564,
1628629740000,0.25998,0.25998,0.25998,0.25998,10173.1795,
1628629800000,0.26014,0.26022,0.26022,0.26014,8991.61010296,
1628629860000,0.2596,0.26009,0.26009,0.2596,6457.64022492,
1628629920000,0.2598,0.25947,0.2598,0.25947,26627.19299948,
1628629980000,0.25979,0.25994,0.25999,0.25979,53308.52582725,
1628630100000,0.25944,0.25843,0.25944,0.25843,26146.34147955,
1628630160000,0.25768,0.2577,0.2577,0.25739,16226.97666348,
1628630220000,0.25746,0.25721,0.25746,0.25721,937.577,
1628630280000,0.25731,0.25798,0.25798,0.25731,29832.22689668,
1628630340000,0.25805,0.25763,0.25805,0.25763,23992.4085,
1628630400000,0.25798,0.25828,0.25828,0.25798,13632.57758189,
1628630520000,0.25853,0.25853,0.25853,0.25853,15137.7363,
1628630640000,0.25866,0.25854,0.25868,0.25854,48024.454,
1628630700000,0.25902,0.25959,0.25959,0.25886,94080.2304,
1628630760000,0.25985,0.25985,0.25985,0.25985,4515.37343231,
1628630820000,0.26001,0.25907,0.26001,0.25904,88722.59695661,
1628630880000,0.25905,0.25905,0.25905,0.25905,4523.6106298,
1628630940000,0.25889,0.25882,0.25889,0.25882,9022.45082451,
1628631000000,0.25877,0.25871,0.25877,0.25871,9765.54950919,
1628631120000,0.25882,0.25883,0.25883,0.25882,37870.64216517,
1628631180000,0.25921,0.25967,0.25967,0.25921,20338.71291607,
1628631300000,0.25987,0.26026,0.26026,0.25987,26683.9019895,
1628631360000,0.2601,0.26001,0.2601,0.26,46066.98360305,
1628631420000,0.26004,0.26004,0.26004,0.26004,4271.804,
1628631540000,0.26,0.26,0.26,0.26,2.50720274,
1628631600000,0.26,0.26,0.26,0.26,3.295184,
1628631660000,0.26,0.26,0.26,0.26,0.02461021,
1628631720000,0.25954,0.25954,0.25954,0.25954,4527.0197,
1628631780000,0.25958,0.25871,0.25958,0.25871,26707.46041239,
1628631840000,0.25933,0.25933,0.25933,0.25933,4522.57966155,
1628631900000,0.25966,0.25971,0.25983,0.25965,36861.59393202,
1628631960000,0.26027,0.26027,0.26027,0.26027,3204.02954856,
1628632020000,0.26038,0.26038,0.26038,0.26038,22161.5725,
1628632200000,0.26036,0.2597,0.26036,0.2597,9334.02319263,
1628632260000,0.25957,0.25957,0.25957,0.25957,15798.22784505,
1628632440000,0.25996,0.26034,0.26034,0.25996,33453.37111209,
1628632500000,0.25999,0.25999,0.25999,0.25999,100.0,
1628632680000,0.25996,0.2595,0.25996,0.2595,9016.0579588,
1628632740000,0.25938,0.2588,0.25938,0.2588,105408.77465434,
1628632800000,0.25911,0.25979,0.25979,0.25911,49642.23334565,
1628632860000,0.25998,0.26028,0.26028,0.25998,13050.06686781,
1628632920000,0.26003,0.26003,0.26003,0.26003,4510.37079235,
1628632980000,0.26007,0.26005,0.26007,0.26005,19241.7789,
1628633040000,0.26004,0.26016,0.26016,0.26004,9921.59582623,
1628633100000,0.26024,0.26034,0.26038,0.26024,72132.34688755,
1628633160000,0.26042,0.26051,0.26051,0.26042,17089.236,
1628633220000,0.26055,0.26022,0.26065,0.26022,12227.01616282,
1628633280000,0.2604,0.2604,0.2604,0.2604,5770.16,
1628633340000,0.26071,0.26075,0.26075,0.26071,17754.008,
1628633400000,0.26078,0.26095,0.26095,0.26074,41972.07804559,
1628633460000,0.26109,0.2613,0.2613,0.26109,27499.24899451,
1628633520000,0.26153,0.26255,0.26279,0.26153,305793.65201962,
1628633580000,0.26274,0.26349,0.26349,0.26246,281993.78700031,
1628633640000,0.26251,0.26311,0.26311,0.26229,25314.71223205,
1628633700000,0.2621,0.2621,0.2621,0.2621,4472.09503781,
1628633820000,0.26179,0.26179,0.26179,0.26179,564.99,
1628633880000,0.26179,0.2607,0.26179,0.2607,26336.68475766,
1628633940000,0.26118,0.26118,0.26118,0.26118,5800.5959,
1628634000000,0.26089,0.26057,0.26089,0.26057,26917.6305,
1628634060000,0.26015,0.2601,0.26015,0.2601,7125.180939530001,
1628634120000,0.2603,0.2603,0.2603,0.2603,4504.93750455,
1628634180000,0.26053,0.26053,0.26053,0.26053,4501.77201475,
1628634240000,0.26035,0.26035,0.26035,0.26035,4504.54924157,
1628634300000,0.26046,0.26028,0.26046,0.26028,4132.180936520001,
1628634360000,0.25994,0.25994,0.25994,0.25994,4471.38347049,
1628634420000,0.25878,0.25878,0.25878,0.25878,2262.15,
1628634480000,0.25933,0.25924,0.2594,0.25924,2866.15724999,
1628634540000,0.2584,0.25819,0.2584,0.25793,89956.82049319,
1628634600000,0.25818,0.25902,0.25902,0.25818,47638.46646713,
1628634660000,0.25925,0.25929,0.25929,0.25869,60322.13708517,
1628634720000,0.25914,0.25883,0.25914,0.25883,27289.76349999,
1628634780000,0.25829,0.25814,0.25829,0.25814,42585.23100811,
1628634840000,0.25785,0.25697,0.25785,0.25697,31264.53802215,
1628634900000,0.25688,0.25622,0.25689,0.25622,70298.97442354,
1628634960000,0.25631,0.25727,0.25727,0.25631,35880.96533002,
1628635020000,0.2578,0.25777,0.2578,0.25777,5374.71150421,
1628635080000,0.25695,0.2567,0.25695,0.2567,22607.98204018,
1628635140000,0.25707,0.25707,0.25707,0.25707,22161.5725,
1628635260000,0.25744,0.258,0.258,0.25744,127730.85061174,
1628635320000,0.25809,0.25809,0.25809,0.25809,4542.08220868,
1628635560000,0.25836,0.25836,0.25836,0.25836,4536.29466729,
1628635620000,0.25836,0.25863,0.25863,0.25836,16210.20533271,
1628635680000,0.25884,0.25889,0.25889,0.25872,47336.142100000005,
1628635740000,0.25864,0.25854,0.25864,0.25854,25249.65363623,
1628635800000,0.25843,0.25843,0.25843,0.25843,2216.15724999,
1628635860000,0.25846,0.2581,0.25846,0.2581,46800.5953,
1628635920000,0.25761,0.25731,0.25761,0.25731,48874.15781428,
1628635980000,0.25698,0.25639,0.25698,0.25637,34078.58007074,
1628636040000,0.25654,0.25688,0.25688,0.25654,92205.2424,
1628636100000,0.25703,0.25731,0.25751,0.25703,46657.1460267,
1628636160000,0.25716,0.25716,0.25716,0.25716,5800.0,
1628636220000,0.25735,0.25735,0.25735,0.25735,4556.76175202,
1628636340000,0.25631,0.25622,0.25647,0.25622,33170.3,
1628636460000,0.25654,0.25705,0.25705,0.25654,28741.61361507,
1628636520000,0.2571,0.25724,0.25724,0.2571,13663.339,
1628636700000,0.2574,0.2574,0.2574,0.2574,9034.615,
