time,open,close,high,low,volume
1682762340000,3.0336,3.0336,3.0336,3.0336,1.13354692
1682763240000,3.0336,3.0335,3.0336,3.0335,0.92505924
1682763600000,3.0793,3.0793,3.0793,3.0793,0.82961378
1682764800000,3.0335,3.0335,3.0335,3.0335,1.46158349
1682765820000,3.0336,3.0333,3.0336,3.0333,0.97159509
1682766900000,3.0328,3.0328,3.0328,3.0328,1.20565184
1682768160000,3.0325,3.0325,3.0325,3.0325,0.96053047
1682768580000,3.0784,3.0788,3.0788,3.0784,1.39507681
1682769420000,3.0326,3.0326,3.0326,3.0326,1.05740167
1682769840000,3.0771,3.0783,3.0783,3.0771,1.38205695
1682770620000,3.0327,3.0327,3.0327,3.0327,1.03412848
1682771460000,3.0327,3.0321,3.0327,3.0321,0.96460886
1682772660000,3.0321,3.0321,3.0321,3.0321,1.04464704
1682773020000,3.0767,3.0767,3.0767,3.0767,1.51433631
1682773800000,3.0322,3.0322,3.0322,3.0322,1.35226897
1682774280000,3.0762,3.0762,3.0762,3.0762,1.29615405
1682775060000,3.0322,3.031,3.0322,3.031,0.99248105
1682775780000,3.0311,3.0311,3.0311,3.0311,1.11543498
1682776740000,3.0335,3.0335,3.0335,3.0335,0.93264215
1682777880000,3.0335,3.0335,3.0335,3.0335,1.17589846
1682778960000,3.0335,3.0335,3.0335,3.0335,1.23483233
1682780100000,3.037,3.037,3.037,3.037,1.44496719
1682780940000,3.0367,3.0367,3.0367,3.0367,1.02789498
1682782140000,3.0367,3.0367,3.0367,3.0367,1.58678952
1682782500000,3.0754,3.0754,3.0754,3.0754,0.998032
1682783700000,3.0368,3.0367,3.0368,3.0367,1.2083814
1682784780000,3.0367,3.0367,3.0367,3.0367,1.14255682
1682785800000,3.0367,3.0367,3.0367,3.0367,1.00007432
1682786220000,3.0744,3.0744,3.0744,3.0744,1.56734343
1682787300000,3.0368,3.0368,3.0368,3.0368,1.48728573
1682788080000,3.0368,3.0367,3.0368,3.0367,1.40187912
1682788860000,3.0418,3.0418,3.0418,3.0418,1.20099965
1682790000000,3.0429,3.0429,3.0429,3.0429,0.80545495
1682790420000,3.0731,3.0731,3.0731,3.0731,1.54040261
1682791500000,3.043,3.043,3.043,3.043,1.28648946
1682791860000,3.0716,3.0716,3.0716,3.0716,0.85084003
1682793000000,3.0429,3.0429,3.0429,3.0429,1.06086656
1682793780000,3.0429,3.0429,3.0429,3.0429,0.99589154
1682795040000,3.0429,3.0429,3.0429,3.0429,1.31063415
1682795820000,3.0429,3.0429,3.0429,3.0429,0.98095856
1682796240000,3.0699,3.0716,3.0716,3.0699,10.66645287
1682797500000,3.0429,3.0429,3.0429,3.0429,1.01144654
1682798760000,3.0429,3.0429,3.0429,3.0429,1.38804148
1682799900000,3.043,3.043,3.043,3.043,1.56509271
1682800320000,3.0731,3.1258,3.1258,3.0731,1.40667338
1682801040000,3.0431,3.0431,3.0431,3.0431,1.08889326
1682801820000,3.0432,3.0432,3.0432,3.0432,0.84262335
1682802180000,3.1255,3.1272,3.1272,3.1255,1.4709166100000002
1682803140000,3.064,3.064,3.064,3.064,1.42053357
1682803500000,3.1267,3.1267,3.1267,3.1267,1.29751972
1682804280000,3.0641,3.0641,3.0641,3.0641,1.13097351
1682805360000,3.0642,3.0642,3.0642,3.0642,1.49780589
1682805720000,3.1266,3.1266,3.1266,3.1266,1.52359759
1682806980000,3.0643,3.0643,3.0643,3.0643,1.41456323
1682808180000,3.0644,3.0644,3.0644,3.0644,1.44025583
1682808540000,3.1264,3.1264,3.1264,3.1264,0.89219833
1682809620000,3.0645,3.0645,3.0645,3.0645,1.01150887
1682810400000,3.0646,3.0646,3.0646,3.0646,1.4691115
1682811480000,3.0647,3.0647,3.0647,3.0647,1.36585797
1682812560000,3.0648,3.0648,3.0648,3.0648,1.12813424
1682812980000,3.1261,3.1261,3.1261,3.1261,0.89363842
1682813760000,3.0649,3.0649,3.0649,3.0649,1.0546414
1682814900000,3.065,3.065,3.065,3.065,1.03014694
1682816040000,3.0651,3.0651,3.0651,3.0651,1.19874603
1682817000000,3.0652,3.0652,3.0652,3.0652,1.07786987
1682818080000,3.0653,3.065,3.0653,3.065,1.43945396
1682819160000,3.065,3.064,3.065,3.064,0.92555454
1682819640000,3.1255,3.1255,3.1255,3.1255,1.43422239
1682820420000,3.0641,3.0641,3.0641,3.0641,0.98204622
1682821560000,3.0641,3.064,3.0641,3.064,0.81131555
1682821980000,3.1249,3.1249,3.1249,3.1249,0.98118244
1682823000000,3.0641,3.064,3.0641,3.064,1.35738754
1682823780000,3.064,3.064,3.064,3.064,0.85171059
1682824500000,3.064,3.064,3.064,3.064,1.57127294
1682825580000,3.062,3.062,3.062,3.062,1.22168833
1682825940000,3.1224,3.1225,3.1225,3.1224,1.5624101700000002
1682827020000,3.0614,3.0614,3.0614,3.0614,0.88979235
1682828220000,3.0615,3.0615,3.0615,3.0615,0.8714111
1682829000000,3.0615,3.0606,3.0615,3.0606,0.96880411
