time,open,close,high,low,volume,Unnamed: 0
1640081580000,7.9265,7.9265,7.9265,7.9265,29.524373,
1640081640000,7.9265,7.9265,7.9265,7.9265,101.0,
1640082540000,7.9336,7.9336,7.9336,7.9336,10.0,
1640087820000,7.939,7.939,7.939,7.939,429.0,
1640087880000,7.939,7.939,7.939,7.939,3623.0,
1640087940000,7.939,7.939,7.939,7.939,353.0,
1640088000000,7.939,7.939,7.939,7.939,1574.984,
1640088060000,7.939,7.939,7.939,7.939,2200.98,
1640088180000,7.922,7.922,7.922,7.922,624.63,
1640088240000,7.939,7.939,7.939,7.939,325.999,
1640088300000,7.939,7.939,7.939,7.939,574.0,
1640088480000,7.94,7.94,7.94,7.94,21.0,
1640093220000,7.9418,7.9418,7.9418,7.9418,5.0,
1640093400000,7.9421,7.9421,7.9421,7.9421,1.0,
1640095680000,7.9421,7.9421,7.9421,7.9421,14.4798,
1640096940000,7.9521,7.9521,7.9521,7.9521,6.9095,
1640101680000,7.912,7.912,7.912,7.912,1.003,
1640101740000,7.9121,7.9121,7.9121,7.9121,4.002,
1640101800000,7.9123,7.9123,7.9123,7.9123,5.01,
1640101860000,7.9126,7.9126,7.9126,7.9126,5.02,
1640102100000,7.9128,7.9128,7.9128,7.9128,5.01,
1640102580000,7.9131,7.9131,7.9131,7.9131,10.02,
1640102700000,7.9136,7.9136,7.9136,7.9136,10.02,
1640110380000,7.9201,7.914,7.9201,7.914,26.2341,
1640115180000,7.917,7.917,7.917,7.917,0.6592,
1640115540000,7.917,7.917,7.917,7.917,0.7535,
1640116080000,7.9171,7.9171,7.9171,7.9171,3.610135,
1640123040000,7.916,7.9171,7.9171,7.916,18.9695,
1640129400000,7.8839,7.8839,7.8839,7.8839,2.0,
1640134620000,7.9031,7.9077,7.9077,7.9031,242.56923,
1640145960000,7.9171,7.9178,7.9178,7.9171,302.577,
1640149440000,7.9098,7.9098,7.9098,7.9098,29.468754,
1640154540000,7.8684,7.8684,7.8684,7.8684,240.849,
1640154660000,7.8857,7.8955,7.8955,7.8857,631.964,
1640156700000,7.8595,7.8595,7.8595,7.8595,70.907,
1640157240000,7.886,7.886,7.886,7.886,79.266,
1640159880000,7.8605,7.8605,7.8605,7.8605,2.0,
1640164500000,7.8513,7.8513,7.8513,7.8513,40.00483,
1640164920000,7.8493,7.8493,7.8493,7.8493,12.69339,
1640165940000,7.8684,7.8684,7.8684,7.8684,240.879,
1640173080000,7.8681,7.8681,7.8681,7.8681,20.03,
1640173200000,7.8691,7.8691,7.8691,7.8691,1.537491,
1640178240000,7.8254,7.8254,7.8254,7.8254,2.220018,
1640179440000,7.8255,7.8255,7.8255,7.8255,12.0,
1640183400000,7.825,7.825,7.825,7.825,3546.554582,
1640183460000,7.81,7.81,7.81,7.81,4437.661474,
1640191620000,7.826,7.8275,7.8275,7.826,295.865,
1640208780000,7.8275,7.8275,7.8275,7.8275,48.236,
1640210820000,7.8124,7.8124,7.8124,7.8124,2.0,
1640218920000,7.8275,7.8275,7.8275,7.8275,1.0,
1640231040000,7.8185,7.8185,7.8185,7.8185,8.814,
1640231160000,7.8241,7.8241,7.8241,7.8241,10.852,
1640232000000,7.8245,7.8245,7.8245,7.8245,12.855,
1640241960000,7.806,7.806,7.806,7.806,54.73,
1640242860000,7.8004,7.8004,7.8004,7.8004,62.692,
1640243460000,7.8087,7.8087,7.8087,7.8087,146.528,
1640243820000,7.8072,7.8072,7.8072,7.8072,1.5827,
1640244000000,7.8133,7.8133,7.8133,7.8133,55.779,
1640244600000,7.8134,7.8134,7.8134,7.8134,54.9939,
1640246520000,7.765,7.8065,7.8065,7.765,1894.452,
1640246580000,7.8275,7.8389,7.8389,7.8275,657.548,
1640246700000,7.8299,7.8299,7.8299,7.8299,125.0,
1640252160000,7.8111,7.8111,7.8111,7.8111,3.765,
1640252340000,7.8165,7.8165,7.8165,7.8165,69.041,
1640261280000,7.8117,7.8214,7.8214,7.8117,634.768,
1640271960000,7.816,7.9079,7.9079,7.816,3894.797,
1640272020000,7.9521,7.9883,7.9883,7.9521,573.1595,
1640275020000,7.92,7.92,7.92,7.92,4371.65126,
