time,open,close,high,low,volume
1685775600000,37.454,37.454,37.454,37.454,0.03600566
1685777100000,37.462,37.462,37.462,37.462,0.0364805
1685778840000,37.394,37.394,37.394,37.394,0.02984874
1685779860000,37.423,37.423,37.423,37.423,0.02736677
1685781240000,37.443,37.443,37.443,37.443,0.02388704
1685781300000,37.504,37.504,37.504,37.504,0.03976465
1685782260000,37.436,37.436,37.436,37.436,0.02568087
1685783040000,37.453,37.453,37.453,37.453,0.02513784
1685783820000,37.484,37.484,37.484,37.484,0.03628855
1685786400000,37.513,37.513,37.513,37.513,0.03283888
1685788200000,37.539,37.539,37.539,37.539,0.02309059
1685790060000,37.571,37.571,37.571,37.571,0.03382356
1685791500000,37.655,37.655,37.655,37.655,0.03691183
1685792700000,37.783,37.783,37.783,37.783,0.03569223
1685793600000,37.705,37.705,37.705,37.705,0.03732285
1685794740000,37.771,37.771,37.771,37.771,0.03782492
1685795100000,37.843,37.843,37.843,37.843,0.03997524
1685795880000,37.7,37.7,37.7,37.7,0.02307252
1685797740000,37.664,37.664,37.664,37.664,0.02350459
1685798760000,37.639,37.639,37.639,37.639,0.03282792
1685799540000,37.644,37.644,37.644,37.644,0.02515708
1685800560000,37.659,37.75,37.75,37.659,6.33728993
1685800680000,37.818,37.818,37.818,37.818,0.03003644
1685801760000,37.757,37.757,37.757,37.757,0.02371547
1685801820000,37.827,37.827,37.827,37.827,0.02011768
1685802780000,37.78,37.78,37.78,37.78,0.03517517
1685803680000,37.738,37.738,37.738,37.738,0.02467988
1685804880000,37.708,37.708,37.708,37.708,0.03172834
1685806080000,37.626,37.626,37.626,37.626,0.02218262
1685807340000,37.718,37.718,37.718,37.718,0.03996064
1685807820000,37.842,37.842,37.842,37.842,0.5
1685808600000,38.045,38.045,38.045,38.045,0.02019645
1685808780000,37.921,37.921,37.921,37.921,0.02305139
1685809860000,38.126,38.126,38.126,38.126,0.03104618
1685811120000,38.046,38.046,38.046,38.046,0.02682441
1685811960000,38.07,38.07,38.07,38.07,0.03470019
1685813160000,38.096,38.096,38.096,38.096,0.03008651
1685813220000,38.16,38.16,38.16,38.16,0.03992174
1685814360000,37.943,37.943,37.943,37.943,0.02962384
1685815200000,38.056,38.056,38.056,38.056,0.03154079
1685816340000,38.065,38.065,38.065,38.065,0.02399537
1685817540000,38.059,38.059,38.059,38.059,0.02167804
1685818320000,38.06,38.06,38.06,38.06,0.03201781
1685818380000,38.153,38.153,38.153,38.153,0.03592332
1685819160000,38.1,38.1,38.1,38.1,0.03369698
1685819640000,37.964,37.964,37.964,37.964,0.0274987
1685820480000,38.058,38.058,38.058,38.058,0.03678215
1685821620000,38.047,38.047,38.047,38.047,0.02087235
1685822820000,38.038,38.038,38.038,38.038,0.02022569
1685825640000,37.956,37.956,37.956,37.956,0.02404098
1685827200000,38.045,38.045,38.045,38.045,0.02820827
1685827320000,37.965,37.965,37.965,37.965,0.02173346
1685828100000,38.037,38.037,38.037,38.037,0.02554645
1685830440000,38.05,38.05,38.05,38.05,0.03765042
1685831580000,38.1,38.1,38.1,38.1,0.03155802
1685831940000,38.246,38.246,38.246,38.246,2.5
1685834520000,38.28,38.28,38.28,38.28,0.03182606
1685835000000,38.4,38.4,38.4,38.4,0.03296452
1685835900000,38.299,38.299,38.299,38.299,0.03776026
1685837640000,38.219,38.219,38.219,38.219,0.02518143
1685838000000,38.269,38.269,38.269,38.269,0.03115643
1685838840000,38.062,38.062,38.062,38.062,0.02841716
1685840880000,37.979,37.979,37.979,37.979,0.02925223
1685841660000,38.098,38.098,38.098,38.098,0.02310273
1685841840000,38.191,38.191,38.191,38.191,5.6854
1685842860000,38.209,38.209,38.209,38.209,0.03236521
1685844120000,38.283,38.283,38.283,38.283,0.02382537
1685845020000,38.334,38.334,38.334,38.334,0.02686181
1685845800000,38.363,38.363,38.363,38.363,0.02675579
1685847120000,38.394,38.394,38.394,38.394,0.02871957
1685847480000,38.496,38.496,38.496,38.496,0.02561213
1685848740000,38.392,38.392,38.392,38.392,0.0222545
1685849040000,38.461,38.461,38.461,38.461,0.03824688
1685850840000,38.531,38.531,38.531,38.531,0.02769517
1685851800000,38.409,38.409,38.409,38.409,0.02669516
1685852160000,38.467,38.467,38.467,38.467,0.03194919
1685853300000,38.388,38.388,38.388,38.388,0.03736529
1685855460000,38.308,38.308,38.308,38.308,0.03114244
1685855520000,38.392,38.392,38.392,38.392,0.02398257
1685856600000,38.18,38.18,38.18,38.18,0.02636797
1685857500000,38.258,38.258,38.258,38.258,0.02666539
1685859480000,38.37,38.37,38.37,38.37,0.02012667
1685860560000,38.452,38.452,38.452,38.452,0.02377244
1685862180000,38.455,38.455,38.455,38.455,0.03609457
1685862660000,38.563,38.563,38.563,38.563,0.03055997
1685863860000,38.482,38.482,38.482,38.482,0.02059659
1685864280000,38.506,38.506,38.506,38.506,0.0215417
1685865180000,38.392,38.392,38.392,38.392,0.0333959
1685865960000,38.492,38.492,38.492,38.492,0.02380934
1685866800000,38.469,38.469,38.469,38.469,0.02115823
1685866920000,38.382,38.382,38.382,38.382,0.547902
1685867820000,38.414,38.414,38.414,38.414,0.03936021
1685867940000,38.491,38.491,38.491,38.491,0.03748322
1685868960000,38.524,38.524,38.524,38.524,0.0310062
1685869920000,38.612,38.601,38.612,38.601,3.6
1685870940000,38.619,38.619,38.619,38.619,0.03781334
1685873700000,38.739,38.739,38.739,38.739,0.02752327
1685877420000,38.828,38.828,38.828,38.828,0.02276744
1685878200000,38.788,38.788,38.788,38.788,0.5
1685879220000,38.828,38.828,38.828,38.828,0.02305126
1685880720000,38.921,38.921,38.921,38.921,0.02866769
1685881920000,38.823,38.823,38.823,38.823,0.02149512
1685882280000,38.78,38.78,38.78,38.78,0.03800869
1685883420000,38.8,38.8,38.8,38.8,0.02329751
1685884560000,38.918,38.918,38.918,38.918,0.03625871
1685884620000,38.998,38.998,38.998,38.998,0.02312789
1685886480000,38.843,38.843,38.843,38.843,5.9558
1685887320000,38.744,38.744,38.744,38.744,0.03190894
1685888460000,38.78,38.78,38.78,38.78,0.03255432
1685890020000,38.793,38.793,38.793,38.793,0.02397818
1685890140000,38.884,38.884,38.884,38.884,0.02535206
1685891160000,38.673,38.673,38.673,38.673,0.02599527
1685891520000,38.7,38.7,38.7,38.7,0.02557153
1685892360000,38.455,38.455,38.455,38.455,0.03865016
1685892420000,38.399,38.399,38.399,38.399,6.02425
1685893860000,38.468,38.468,38.468,38.468,0.02839489
1685894220000,38.428,38.428,38.428,38.428,0.02360556
1685894760000,38.368,38.368,38.368,38.368,0.89628842
1685895600000,38.418,38.418,38.418,38.418,0.034782
1685896680000,38.191,38.191,38.191,38.191,0.03984231
1685897580000,38.267,38.267,38.267,38.267,0.02728228
1685897940000,38.204,38.204,38.204,38.204,0.03728348
1685898720000,38.286,38.286,38.286,38.286,0.02789348
1685899980000,38.367,38.367,38.367,38.367,0.03870031
1685900820000,38.437,38.437,38.437,38.437,0.02450347
1685901240000,38.305,38.305,38.305,38.305,2.7
1685902440000,38.396,38.396,38.396,38.396,0.02338647
1685902860000,38.3,38.3,38.3,38.3,0.0304923
1685903700000,38.387,38.387,38.387,38.387,0.03696921
1685904960000,38.312,38.312,38.312,38.312,0.02373249
