time,open,close,high,low,volume
1685775360000,37.438,37.489,37.489,37.438,0.1170953399999999
1685776200000,37.444,37.444,37.444,37.444,0.04311885
1685776260000,37.444,37.444,37.444,37.444,13.4
1685777100000,37.464,37.464,37.464,37.464,0.04397192
1685777160000,37.509,37.509,37.509,37.509,0.02105861
1685777940000,37.434,37.434,37.434,37.434,0.0435797
1685779620000,37.459,37.459,37.459,37.459,0.05974234
1685780880000,37.414,37.414,37.414,37.414,0.06214578
1685781660000,37.45,37.45,37.45,37.45,0.03969019
1685783280000,37.474,37.474,37.474,37.474,0.03671355
1685786400000,37.488,37.488,37.488,37.488,0.04393248
1685787900000,37.526,37.526,37.526,37.526,0.03269107
1685787960000,37.567,37.567,37.567,37.567,0.05138988
1685789580000,37.514,37.514,37.514,37.514,0.04022662
1685790300000,37.63,37.63,37.63,37.63,13.1
1685791080000,37.586,37.586,37.586,37.586,0.03496993
1685791980000,37.684,37.684,37.684,37.684,0.0577844
1685792700000,37.705,37.705,37.705,37.705,0.02805512
1685792760000,37.758,37.758,37.758,37.758,0.04588984
1685793540000,37.682,37.682,37.682,37.682,0.04631434
1685793600000,37.739,37.739,37.739,37.739,5.6304
1685794500000,37.757,37.757,37.757,37.757,0.07411787
1685795460000,37.719,37.719,37.719,37.719,0.03826955
1685796720000,37.671,37.671,37.671,37.671,0.02248075
1685797620000,37.626,37.626,37.626,37.626,0.04365576
1685798520000,37.577,37.577,37.577,37.577,0.04033749
1685799360000,37.642,37.642,37.642,37.642,0.04600005
1685800500000,37.671,37.664,37.671,37.664,0.09677167
1685800560000,37.716,37.725,37.725,37.716,24.93880585
1685801640000,37.745,37.745,37.745,37.745,0.04233648
1685801700000,37.807,37.807,37.807,37.807,0.02044542
1685802480000,37.743,37.743,37.743,37.743,0.0717145
1685803440000,37.718,37.718,37.718,37.718,3.1284
1685804820000,37.712,37.712,37.712,37.712,0.06026806
1685804880000,37.628,37.628,37.628,37.628,0.0306936
1685806020000,37.674,37.674,37.674,37.674,0.06255228
1685806800000,37.614,37.614,37.614,37.614,0.07245177
1685807640000,37.677,37.677,37.677,37.677,0.06789511
1685807820000,37.834,37.931,37.931,37.834,6.0428583
1685807880000,37.938,37.938,37.938,37.938,0.96913737
1685807940000,38.002,38.002,38.002,38.002,0.96831773
1685808900000,37.954,37.954,37.954,37.954,0.03668934
1685809680000,38.124,38.124,38.124,38.124,0.07704857
1685809980000,38.061,38.061,38.061,38.061,12.99999999
1685810880000,38.033,38.033,38.033,38.033,0.0721337
1685811720000,38.103,38.103,38.103,38.103,0.02548665
1685812500000,38.026,38.026,38.026,38.026,0.04469685
1685812560000,38.088,38.088,38.088,38.088,0.04492785
1685813460000,38.125,38.125,38.125,38.125,0.02686186
1685814060000,38.0,37.958,38.0,37.954,72.68583876
1685814120000,37.955,37.954,37.955,37.954,12.9
1685814300000,38.021,38.021,38.021,38.021,12.74391183
1685815020000,38.084,38.084,38.084,38.084,0.02877133
1685815860000,38.019,38.019,38.019,38.019,0.078268
1685816640000,38.14,38.14,38.14,38.14,0.07620792
1685817420000,38.066,38.066,38.066,38.066,0.02563553
1685818260000,38.08,38.08,38.08,38.08,0.06968024
