time,open,close,high,low,volume
1682761620000,42.052,42.052,42.052,42.052,0.0468557
1682761740000,42.044,42.035,42.044,42.035,84.87237042
1682762040000,42.096,42.096,42.096,42.096,20.26
1682762760000,42.206,42.145,42.206,42.145,0.1459092
1682763360000,42.225,42.248,42.248,42.225,16.4775
1682763480000,42.179,42.179,42.179,42.179,15.1348
1682763540000,42.102,42.102,42.102,42.102,4.35877425
1682764380000,42.078,42.078,42.078,42.078,0.03382354
1682764560000,42.073,42.073,42.073,42.073,11.54
1682764680000,42.026,42.014,42.026,42.014,48.74731253
1682765580000,42.091,42.091,42.091,42.091,0.04232404
1682765640000,42.111,42.111,42.111,42.111,0.0209519
1682766420000,41.998,42.038,42.038,41.998,0.1118912
1682766660000,41.977,41.977,41.977,41.977,12.4199
1682766720000,42.035,42.045,42.045,42.035,32.4495
1682767680000,41.983,41.983,41.983,41.983,0.04627726
1682767860000,41.983,41.943,41.983,41.943,92.009446
1682768100000,41.85,41.846,41.85,41.846,23.5
1682768820000,42.198,42.198,42.198,42.198,0.0495818
1682769600000,42.324,42.336,42.336,42.324,16.1640517
1682770500000,42.297,42.297,42.297,42.297,0.02841417
1682770800000,42.257,42.252,42.257,42.252,58.04288931
1682770860000,42.186,42.186,42.186,42.186,1.1996
1682771760000,42.259,42.259,42.259,42.259,0.07997266
1682772720000,42.3,42.3,42.3,42.3,0.02520067
1682773140000,42.218,42.218,42.218,42.218,14.10538794
1682773560000,42.138,41.967,42.138,41.967,69.36511988000001
1682773740000,41.974,41.982,41.982,41.974,36.861
1682773860000,41.917,41.836,41.917,41.835,23.75179504
1682773920000,41.785,41.783,41.785,41.765,78.62730519
1682774040000,41.864,41.864,41.864,41.864,11.91534352
1682774340000,41.786,41.786,41.786,41.786,2.6029
1682774460000,41.939,41.94,41.94,41.939,23.6
1682774640000,41.946,41.947,41.947,41.945,3.38008904
1682775120000,42.044,42.045,42.045,42.044,11.79999999
1682776200000,42.079,42.079,42.079,42.079,0.07816326
