time,open,close,high,low,volume
1682761920000,42.056,42.056,42.056,42.056,0.02434959
1682762820000,42.154,42.154,42.154,42.154,0.0241789
1682763180000,42.217,42.217,42.217,42.217,0.03674481
1682764260000,42.086,42.086,42.086,42.086,0.02054615
1682766480000,41.995,41.995,41.995,41.995,0.02991608
1682768160000,41.858,41.858,41.858,41.858,0.03507921
1682768580000,42.151,42.151,42.151,42.151,0.03342468
1682769360000,42.216,42.216,42.216,42.216,0.03363986
1682769720000,42.367,42.367,42.367,42.367,0.02635978
1682770560000,42.255,42.255,42.255,42.255,0.02606171
1682771700000,42.314,42.314,42.314,42.314,1.03364329
1682773020000,42.24,42.24,42.24,42.24,0.03376605
1682773560000,42.136,42.118,42.136,42.118,9.29325718
1682773860000,41.897,41.897,41.897,41.897,2.08107436
1682773920000,41.84,41.763,41.84,41.763,22.25648688
1682775000000,42.056,42.056,42.056,42.056,0.02450928
1682775480000,42.017,42.017,42.017,42.017,0.02092981
1682776320000,42.128,42.128,42.128,42.128,0.02324611
1682777940000,42.108,42.108,42.108,42.108,0.02263246
1682779140000,42.237,42.237,42.237,42.237,0.03121663
1682779860000,42.214,42.214,42.214,42.214,0.03319477
1682780220000,42.096,42.096,42.096,42.096,0.02377111
1682781480000,42.169,42.169,42.169,42.169,0.03751952
1682781840000,42.231,42.231,42.231,42.231,0.02432172
1682782980000,42.119,42.119,42.119,42.119,0.02042626
1682783340000,41.9,41.9,41.9,41.9,0.0207345
1682784480000,41.979,41.979,41.979,41.979,0.03214338
1682784840000,41.99,41.99,41.99,41.99,0.03759586
1682785860000,42.105,42.105,42.105,42.105,0.02416152
1682788200000,42.075,42.075,42.075,42.075,0.02758418
1682789280000,42.053,42.053,42.053,42.053,0.02843184
1682789580000,41.817,41.829,41.829,41.817,4.2
1682790540000,41.708,41.708,41.708,41.708,0.03255673
1682790900000,41.861,41.861,41.861,41.861,0.038867
1682792160000,41.948,41.948,41.948,41.948,0.02803314
1682792520000,41.816,41.816,41.816,41.816,0.02371244
1682793420000,41.792,41.792,41.792,41.792,0.02408228
1682793900000,41.727,41.727,41.727,41.727,0.02894367
1682794680000,41.808,41.808,41.808,41.808,0.03222434
1682795040000,41.835,41.835,41.835,41.835,0.02189088
1682795820000,41.982,41.982,41.982,41.982,0.02451842
1682796660000,42.054,42.054,42.054,42.054,0.02772969
1682797020000,42.029,42.029,42.029,42.029,0.02459237
1682797920000,42.112,42.112,42.112,42.112,0.03327302
1682798340000,42.029,42.029,42.029,42.029,0.03447302
1682799180000,42.162,42.162,42.162,42.162,0.0328876
1682799900000,41.954,41.954,41.954,41.954,0.02833226
1682801040000,41.899,41.899,41.899,41.899,0.02287137
1682801520000,41.781,41.781,41.781,41.781,0.05981457
1682802660000,41.82,41.82,41.82,41.82,0.02383758
1682804820000,41.956,41.956,41.956,41.956,0.0209149
1682806080000,41.733,41.733,41.733,41.733,0.02763266
1682807340000,41.856,41.856,41.856,41.856,0.02651398
1682808180000,41.921,41.921,41.921,41.921,0.02099933
1682809200000,41.893,41.893,41.893,41.893,52.28609592
1682809260000,41.893,41.893,41.893,41.893,4.18181123
1682810220000,41.753,41.753,41.753,41.753,0.02714974
1682811300000,41.795,41.795,41.795,41.795,0.0201307
1682811660000,41.844,41.844,41.844,41.844,0.02909233
